Date,Day,Emails Sent (Cumulative),Emails Sent (Daily),Open Rate %,Replies Received,Reply Rate %,Positive Replies,Positive Rate %,Calls Scheduled,Call Rate %,Deals Closed,Revenue $,Cumulative Revenue $,Cost $,ROI %,Bounce Rate %,Spam Rate %,Notes
,,,,,,,,,,,,,,,,,
"# DECISION LOGIC (Automated Alerts)","","","","","","","","","","","","","","","","",""
"Metric","Threshold","Action","Owner","Frequency","","","","","","","","","","","",""
"Reply Rate %","< 1%","PAUSE - check email content, pivot pain point","SAP","Daily","","","","","","","","","","","",""
"Reply Rate %","> 3%","SCALE - increase emails to 50-100/day","SAP","Daily","","","","","","","","","","","",""
"Bounce Rate %","> 5%","AUDIT - check lead list quality, re-validate emails","Auditor","Daily","","","","","","","","","","","",""
"Spam Rate %","> 2%","PIVOT - change email tone, reduce frequency","Auditor","Daily","","","","","","","","","","","",""
"Open Rate %","< 15%","CHECK - subject lines too generic? Re-test","SAP","Every 2 days","","","","","","","","","","","",""
"Positive Rate %","< 50%","AUDIT - replies include objections? Create FAQ response","Auditor","Every 3 days","","","","","","","","","","","",""
"Call Rate %","< 50%","OPTIMIZE - improve calendar pitch or follow-up","SAP","Weekly","","","","","","","","","","","",""
"Cumulative Revenue $","> $1,500","CELEBRATE - Activate Model I (Content Factory)","Healer","Weekly","","","","","","","","","","","",""
"Cost $","> $150/day","ALERT - Token burn too high, reduce LLM calls","Sentinel","Daily","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"# WEEKLY ANALYSIS TEMPLATE","","","","","","","","","","","","","","","","",""
"Week","Emails Sent","Total Replies","Positive %","Calls","Deals","Revenue","Cost","ROI %","Key Insight","Change for Next Week","","","","","",""
"Week 1","100","3","67%","1-2","1","$1,500-$5K","$80-$100","1500-5000%","[Summary of Week 1 performance]","[Planned optimization]","","","","","",""
"Week 2","300-500","9-15","67%","5-8","2-3","$5K-$15K","$150-$200","2500-7500%","[Scaling working, reply rate stable]","[Vertical expansion? New pain point?]","","","","","",""
"Week 3","500-1000","15-30","67%","10-20","3-5","$8K-$25K","$200-$300","2600-8200%","[System doubling efficiency]","[Launch Model I in parallel?]","","","","","",""
"Week 4","1000+","30+","67%","15+","5+","$7.5K-$25K+","$300","2500%+","[Autonomous operation achieved]","[Hire VA to manage 3+ agent teams]","","","","","",""
,,,,,,,,,,,,,,,,,
"# SCALING GATES - UNLOCK FEATURES","","","","","","","","","","","","","","","","",""
"Condition","Status Before","Status After","Action","Owner","","","","","","","","","","","",""
"Reply Rate >= 3%","Pilot Phase","Scale Phase","Increase to 50-100 emails/day","SAP","","","","","","","","","","","",""
"5+ Closed Deals","Scout Only","Content Factory","Activate Model I (newsletter/content)","Healer","","","","","","","","","","","",""
"$5K Monthly Revenue","Single Vertical","Multi-Vertical","Expand to 2-3 adjacent verticals","SAP","","","","","","","","","","","",""
"10+ Leads/Day","Single Agent","Dual Agents","Run 2 parallel Scout campaigns","Architect","","","","","","","","","","","",""
"$10K Monthly Revenue","Automation Only","Hybrid Model","Hire VA (Part-time) for oversight","Healer","","","","","","","","","","","",""
"50+ Scheduled Calls","1 Person","Small Team","Hire 1 SDR to close calls","SAP","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"# DAILY STAND-UP CHECKLIST","","","","","","","","","","","","","","","","",""
"Time","Task","Owner","Status","Notes","","","","","","","","","","","",""
"09:00","Review prior day KPIs","SAP","[ ]","Check if pivots needed","","","","","","","","","","","",""
"09:30","Monitor Ollama/n8n status","Sentinel","[ ]","Any errors or downtime?","","","","","","","","","","","",""
"10:00","Scout agent runs (Apify)","Scout","[ ]","Scrape 50 leads","","","","","","","","","","","",""
"12:00","Analyzer reviews completed","Analyzer","[ ]","Update fit_scores","","","","","","","","","","","",""
"14:00","HUMAN REVIEW emails","You","[ ]","Approve 5-15 emails","","","","","","","","","","","",""
"15:00","Mailer sends approved batch","Mailer","[ ]","Gradual rate (5-20/day)","","","","","","","","","","","",""
"17:00","Monitor Gmail for early replies","Auditor","[ ]","Flag positive responses","","","","","","","","","","","",""
"18:00","Update KPI dashboard","Healer","[ ]","Log metrics for day","","","","","","","","","","","",""
"18:30","Check for alerts/errors","Sentinel","[ ]","Fix if critical","","","","","","","","","","","",""
"19:00","Plan next day adjustments","SAP","[ ]","Document in Notes column","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"# EXPORT & AUTOMATION","","","","","","","","","","","","","","","","",""
"Tool","Purpose","Sync Frequency","Setup","","","","","","","","","","","","",""
"Google Sheets","Central KPI hub","Real-time (if using scripts)","Create shared sheet","","","","","","","","","","","","",""
"Gmail API","Auto-log reply count","Daily","Connect to n8n","","","","","","","","","","","","",""
"Stripe","Capture revenue data","Auto (webhook)","Connect to Sheets","","","","","","","","","","","","",""
"Looker Studio","Visual dashboard","Auto-refresh","Build report from Sheets","","","","","","","","","","","","",""
"Slack Bot","Daily alerts","09:00 AM UTC","Trigger n8n → Slack","","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"# INSTRUCTIONS FOR USE","","","","","","","","","","","","","","","","",""
"1. Copy this template to Google Sheets or Excel","","","","","","","","","","","","","","","","",""
"2. Customize columns for your metrics (keep or add as needed)","","","","","","","","","","","","","","","","",""
"3. Update DAILY at 09:00 (after night's batch of emails sent)","","","","","","","","","","","","","","","","",""
"4. Use conditional formatting: Green (Target), Yellow (Medium), Red (Alert)","","","","","","","","","","","","","","","","",""
"5. Create charts for: Revenue over time, Reply Rate trend, ROI % growth","","","","","","","","","","","","","","","","",""
"6. Share read-only link in Slack / team channel for visibility","","","","","","","","","","","","","","","","",""
"7. At end of Week 1, review entire section & make scaling decision","","","","","","","","","","","","","","","","",""
,,,,,,,,,,,,,,,,,
"Version: 2.0","","","","","","","","","","","","","","","","",""
"Last Updated: 2026-03-30","","","","","","","","","","","","","","","","",""
"ADRION 369 - Lead Arbitrage KPI Dashboard","","","","","","","","","","","","","","","","",""
